
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(83, 'Above', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(84, 'Below', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(85, 'Above', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
(86, 'Below', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
(87, 'Above', 7, 29, None, 'BE022', 'p18', 'BE022', None, None)
(88, 'Below', 7, 29, None, 'BE022', 'p18', 'BE022', None, None)
(89, 'Above', None, 140, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(90, 'Below', 7, 140, None, 'BE022', 'p200', 'BE022', None, None)
(91, 'Above', None, 270, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(92, 'Below', 7, 270, None, 'BE022', 'p200', 'BE022', None, None)
(93, 'Above', None, 140, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(94, 'Below', 7, 140, None, 'BE022', 'p200', 'BE022', None, None)
(95, 'Above', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(96, 'Below', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(97, 'Above', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
(98, 'Below', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
(99, 'Above', 7, 29, None, 'BE022', 'p18', 'BE022', None, None)
(100, 'Below', 7, 29, None, 'BE022', 'p18', 'BE022', None, None)
(101, 'Above', 9, 440, None, 'BE023', 'p43', 'BE023', None, None)
(102, 'Below', 9, 440, None, 'BE023', 'p43', 'BE023', None, None)
(103, 'Above', None, 140, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(104, 'Below', 7, 140, None, 'BE023', 'p200', 'BE023', None, None)
(105, 'Above', None, 268, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(106, 'Below', 7, 268, None, 'BE023', 'p200', 'BE023', None, None)
(107, 'Above', None, 140, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(108, 'Below', 7, 140, None, 'BE023', 'p200', 'BE023', None, None)
(109, 'Above', 6, 140, None, 'BE023', 'p48', 'BE023', None, None)
(110, 'Below', 6, 140, None, 'BE023', 'p48', 'BE023', None, None)
(111, 'Above', None, 140, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(112, 'Below', 7, 140, None, 'BE023', 'p200', 'BE023', None, None)
(113, 'Above', None, 268, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(114, 'Below', 7, 268, None, 'BE023', 'p200', 'BE023', None, None)
(115, 'Above', None, 140, None, 'BE023', 'p200', 'BE023', 'CJP', None)
(116, 'Below', 7, 140, None, 'BE023', 'p200', 'BE023', None, None)
(117, 'Above', 7, 140, None, 'p43', 'p42', 'BE023', None, None)
(118, 'Below', 7, 140, None, 'p43', 'p42', 'BE023', None, None)
(119, 'Above', 7, 140, None, 'BE023', 'p42', 'BE023', None, None)
(120, 'Below', 7, 140, None, 'BE023', 'p42', 'BE023', None, None)
(121, 'Above', 7, 33, None, 'BE023', 'p42', 'BE023', None, None)
(122, 'Below', 7, 33, None, 'BE023', 'p42', 'BE023', None, None)
(123, 'Above', 6, 150, None, 'CO006', 'P83', 'CO006', None, None)
(124, 'Below', 6, 150, None, 'CO006', 'P83', 'CO006', None, None)
(125, 'Above', 6, 232, None, 'CO006', 'P83', 'CO006', None, None)
(126, 'Below', 6, 232, None, 'CO006', 'P83', 'CO006', None, None)
(127, 'Above', 6, 150, None, 'CO006', 'P83', 'CO006', None, None)
(128, 'Below', 6, 150, None, 'CO006', 'P83', 'CO006', None, None)
(129, 'Above', 6, 150, None, 'CO006', 'P33', 'CO006', None, None)
(130, 'Below', 6, 150, None, 'CO006', 'P33', 'CO006', None, None)
(131, 'Above', 6, 232, None, 'CO006', 'P33', 'CO006', None, None)
(132, 'Below', 6, 232, None, 'CO006', 'P33', 'CO006', None, None)
(133, 'Above', 6, 150, None, 'CO006', 'P33', 'CO006', None, None)
(134, 'Below', 6, 150, None, 'CO006', 'P33', 'CO006', None, None)
(135, 'Above', 7, 115, None, 'CO007', 'p101', 'CO007', None, None)
(136, 'Below', 7, 115, None, 'CO007', 'p101', 'CO007', None, None)
(137, 'Above', 7, 220, None, 'CO007', 'p101', 'CO007', None, None)
(138, 'Below', 7, 220, None, 'CO007', 'p101', 'CO007', None, None)
(139, 'Above', 7, 115, None, 'CO007', 'p101', 'CO007', None, None)
(140, 'Below', 7, 115, None, 'CO007', 'p101', 'CO007', None, None)
(141, 'Above', 7, 90.5, None, 'p101', 'p100', 'CO007', None, None)
(142, 'Below', 7, 90.5, None, 'p101', 'p100', 'CO007', None, None)
(143, 'Above', 7, 90.5, None, 'p124', 'p100', 'CO007', None, None)
(144, 'Below', 7, 90.5, None, 'p124', 'p100', 'CO007', None, None)
(145, 'Above', 7, 313, None, 'CO007', 'p100', 'CO007', None, None)
(146, 'Above', 7, 313, None, 'CO007', 'p100', 'CO007', None, None)
(147, 'Above', 7, 90.5, None, 'CO007', 'p126', 'CO007', None, None)
(148, 'Below', 7, 90.5, None, 'CO007', 'p126', 'CO007', None, None)
(149, 'Above', 7, 60, None, 'CO007', 'p126', 'CO007', None, None)
(150, 'Below', 7, 60, None, 'CO007', 'p126', 'CO007', None, None)
(151, 'Above', 7, 90.5, None, 'p100', 'p126', 'CO007', None, None)
(152, 'Below', 7, 90.5, None, 'p100', 'p126', 'CO007', None, None)
(153, 'Above', 7, 90.5, None, 'CO007', 'p127', 'CO007', None, None)
(154, 'Below', 7, 90.5, None, 'CO007', 'p127', 'CO007', None, None)
(155, 'Above', 7, 60, None, 'CO007', 'p127', 'CO007', None, None)
(156, 'Below', 7, 60, None, 'CO007', 'p127', 'CO007', None, None)
(157, 'Above', 7, 90.5, None, 'p100', 'p127', 'CO007', None, None)
(158, 'Below', 7, 90.5, None, 'p100', 'p127', 'CO007', None, None)
(159, 'Above', 7, 250, None, 'CO007', 'p47', 'CO007', None, None)
(160, 'Below', 7, 250, None, 'CO007', 'p47', 'CO007', None, None)
(161, 'Above', 7, 172, None, 'CO007', 'p47', 'CO007', None, None)
(162, 'Below', 7, 172, None, 'CO007', 'p47', 'CO007', None, None)
(163, 'Above', 7, 250, None, 'CO007', 'p47', 'CO007', None, None)
(164, 'Below', 7, 250, None, 'CO007', 'p47', 'CO007', None, None)
