
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(356, 'Below', 9, 139, None, 'CO010', 'p184', 'CO010', None, None)
(357, 'Above', 9, 110, None, 'p195', 'p184', 'CO010', None, None)
(358, 'Below', 9, 110, None, 'p195', 'p184', 'CO010', None, None)
(359, 'Above', 9, 139, None, 'CO010', 'p184', 'CO010', None, None)
(360, 'Below', 9, 139, None, 'CO010', 'p184', 'CO010', None, None)
(361, 'Above', 9, 139, None, 'CO010', 'p196', 'CO010', None, None)
(362, 'Below', 9, 139, None, 'CO010', 'p196', 'CO010', None, None)
(363, 'Above', 9, 110, None, 'p195', 'p196', 'CO010', None, None)
(364, 'Below', 9, 110, None, 'p195', 'p196', 'CO010', None, None)
(365, 'Above', 9, 139, None, 'CO010', 'p196', 'CO010', None, None)
(366, 'Below', 9, 139, None, 'CO010', 'p196', 'CO010', None, None)
(367, 'Above', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(368, 'Below', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(369, 'Above', 9, 260, None, 'CO010', 'p207', 'CO010', None, None)
(370, 'Below', 9, 260, None, 'CO010', 'p207', 'CO010', None, None)
(371, 'Above', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(372, 'Below', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(373, 'Above', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(374, 'Below', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(375, 'Above', 9, 260, None, 'CO010', 'p207', 'CO010', None, None)
(376, 'Below', 9, 260, None, 'CO010', 'p207', 'CO010', None, None)
(377, 'Above', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(378, 'Below', 9, 139, None, 'CO010', 'p207', 'CO010', None, None)
(379, 'Above', 9, 139, None, 'CO010', 'p185', 'CO010', None, None)
(380, 'Below', 9, 139, None, 'CO010', 'p185', 'CO010', None, None)
(381, 'Above', 9, 260, None, 'CO010', 'p185', 'CO010', None, None)
(382, 'Below', 9, 260, None, 'CO010', 'p185', 'CO010', None, None)
(383, 'Above', 9, 139, None, 'CO010', 'p185', 'CO010', None, None)
(384, 'Below', 9, 139, None, 'CO010', 'p185', 'CO010', None, None)
(385, 'Above', None, 139, None, 'CO010', 'p198', 'CO010', 'CJP', None)
(386, 'Below', 7, 139, None, 'CO010', 'p198', 'CO010', None, None)
(387, 'Above', None, 260, None, 'CO010', 'p198', 'CO010', 'CJP', None)
(388, 'Below', 7, 260, None, 'CO010', 'p198', 'CO010', None, None)
(389, 'Above', None, 139, None, 'CO010', 'p198', 'CO010', 'CJP', None)
(390, 'Below', 7, 139, None, 'CO010', 'p198', 'CO010', None, None)
(391, 'Above', None, 330, None, 'sp23', 'p182', 'CO010', 'CJP', None)
(392, 'Below', 12, 330, None, 'sp23', 'p182', 'CO010', None, None)
(393, 'Above', None, 330, None, 'sp23', 'p182', 'CO010', 'CJP', None)
(394, 'Below', 12, 330, None, 'sp23', 'p182', 'CO010', None, None)
(395, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(396, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(397, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(398, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(399, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(400, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(401, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(402, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(403, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(404, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(405, 'Above', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(406, 'Below', 12, 90, None, 'sp23', 'p183', 'CO010', None, None)
(407, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(408, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(409, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(410, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(411, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(412, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(413, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(414, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(415, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(416, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(417, 'Above', 12, 90, None, 'p182', 'p183', 'CO010', None, None)
(418, 'Below', 12, 90, None, 'p182', 'p183', 'CO010', None, None)


